"Pitcher","MLBAM_ID","Year","# of total pitches","Total Edge%","Top Edge%","Bottom Edge%","Horizontal Edge%","Heart%","Out of Zone%"
"Juan Perez",2557,"2011",84,0.1667,0.0357,0.0833,0.0476,0.1905,0.5238
"Jeff Manship",6865,"2011",83,0.1807,0.0482,0.0241,0.1084,0.253,0.494
"Mike Zagurski",9683,"2011",81,0.1605,0.0864,0.0741,0,0.1975,0.4815
"Daryl Thompson",6603,"2011",79,0.2152,0.0127,0.0759,0.1266,0.1013,0.5949
"Garrett Olson",9889,"2011",76,0.2368,0.0263,0.1184,0.0921,0.1974,0.4211
"Jarrod Parker",4913,"2011",73,0.1918,0.0548,0.0548,0.0822,0.2055,0.4932
"Tommy Hottovy",7542,"2011",72,0.25,0.0139,0.0417,0.1944,0.2083,0.4861
"Zach Kroenke",4383,"2011",71,0.2113,0.0423,0.0704,0.0986,0.2113,0.4648
"Dellin Betances",6216,"2011",71,0.169,0.0141,0.0141,0.1408,0.1127,0.6901
"Samuel Deduno",5285,"2011",66,0.1364,0.0303,0.0303,0.0758,0.2727,0.5303
"Hector Santiago",4026,"2011",65,0.1077,0.0308,0.0462,0.0308,0.2615,0.5538
"Sandy Rosario",1525,"2011",65,0.1385,0.0769,0.0615,0,0.2769,0.4462
"Scott Kazmir",4897,"2011",63,0.1746,0.0159,0.0159,0.1429,0.2698,0.5238
"Jeff Marquez",7456,"2011",62,0.1935,0.0161,0.1129,0.0645,0.2258,0.4516
"Justin De Fratus",4955,"2011",58,0.1552,0.0517,0,0.1034,0.1897,0.6034
"Luis Marte",8651,"2011",57,0.1579,0.0351,0.0877,0.0351,0.2105,0.5088
"Andrew Brackman",2365,"2011",55,0.0727,0.1091,0.0364,-0.0727,0.3091,0.4727
"Junichi Tazawa",4079,"2011",54,0.1667,0.0185,0.0556,0.0926,0.2407,0.5185
"John Gaub",2857,"2011",53,0.0943,0.0189,0.1132,-0.0377,0.1509,0.6226
"Anthony Slama",3064,"2011",53,0.2264,0,0.0189,0.2075,0.1887,0.566
"Mark DiFelice",2468,"2011",52,0.25,0.0192,0.0962,0.1346,0.1923,0.4423
"Mark Worrell",8045,"2011",46,0.2391,0.0652,0.0435,0.1304,0.1739,0.4783
"Kevin Whelan",3462,"2011",43,0.2093,0.0465,0.0233,0.1395,0.0698,0.6512
"Danny Farquhar",8501,"2011",43,0.2326,0.0465,0.0233,0.1628,0.2558,0.4419
"Mike Fiers",7754,"2011",41,0.1707,0.0976,0,0.0732,0.2439,0.4878
"Dennys Reyes",444,"2011",39,0.1026,0.0256,0.1026,-0.0256,0.1282,0.641
"Xavier Cedeno",36,"2011",36,0.1944,0.0278,0.0833,0.0833,0.3333,0.3611
"Edgar Gonzalez",1727,"2011",34,0.1471,0.0294,0.0294,0.0882,0.2059,0.5882
"Kelvin Herrera",6033,"2011",32,0.2188,0.0625,0.125,0.0313,0.125,0.4688
"Joe Savery",2835,"2011",29,0.1379,0.1034,0.0345,0,0.2069,0.5172
"Robbie Weinhardt",8479,"2011",28,0.1786,0.1786,0,0,0.1786,0.4643
"Chad Beck",9258,"2011",25,0.28,0,0,0.28,0.24,0.48
"Darnell McDonald",1867,"2011",24,0.0417,0.0417,0.0417,-0.0417,0.1667,0.7083
"Kris Medlen",9417,"2011",23,0.0435,0.0435,0.1304,-0.1304,0.2609,0.5217
"Skip Schumaker",3704,"2011",21,0,0.1905,0.0476,-0.2381,0.2381,0.5238
"Rafael Dolis",4185,"2011",20,0.05,0.05,0.05,-0.05,0.15,0.7
"Bryan Petersen",2567,"2011",18,0.1111,0.0556,0,0.0556,0.2222,0.6111
"Mitch Maier",5588,"2011",16,0.1875,0.125,0,0.0625,0.1875,0.5
"Michael Cuddyer",1534,"2011",16,0.0625,0.0625,0,0,0.25,0.625
"Mike Ekstrom",7488,"2011",12,0.25,0,0.0833,0.1667,0.1667,0.5
"Mike McCoy",4583,"2011",12,0.1667,0,0,0.1667,0.3333,0.5
"Wilson Valdez",1863,"2011",10,0.3,0,0.2,0.1,0,0.5
"Steve Garrison",9869,"2011",9,0.3333,0.1111,0,0.2222,0.2222,0.3333
"Scott Richmond",4307,"2011",6,0,0,0,0,0.1667,0.8333
"Don Kelly",2216,"2011",5,0.2,0.4,0,-0.2,0,0.4
"Dan Haren",1757,"2010",3744,0.1659,0.0355,0.0662,0.0641,0.2244,0.508
"Justin Verlander",8700,"2010",3738,0.1763,0.05,0.0532,0.073,0.2429,0.4775
"Felix Hernandez",4772,"2010",3716,0.1849,0.0412,0.0721,0.0716,0.2452,0.4567
"Jered Weaver",4235,"2010",3709,0.1515,0.0394,0.0669,0.0453,0.2464,0.4958
"John Lackey",1507,"2010",3596,0.1749,0.0348,0.062,0.0781,0.2414,0.4869
"Ryan Dempster",517,"2010",3569,0.1552,0.0398,0.0532,0.0622,0.2101,0.5416
"Randy Wolf",976,"2010",3568,0.1864,0.0412,0.0552,0.09,0.2385,0.4787
"Ubaldo Jimenez",3374,"2010",3567,0.1755,0.0468,0.0527,0.076,0.2156,0.5094
"Roy Halladay",1303,"2010",3561,0.1929,0.0183,0.0767,0.098,0.2328,0.4794
"CC Sabathia",404,"2010",3537,0.1869,0.0379,0.0602,0.0888,0.2366,0.4784
"Chris Carpenter",1292,"2010",3527,0.1525,0.0408,0.0576,0.0542,0.2305,0.5186
"Matt Cain",4732,"2010",3489,0.1917,0.0416,0.0539,0.0963,0.2327,0.4801
"Ervin Santana",3200,"2010",3446,0.1677,0.034,0.0688,0.065,0.2226,0.507
"Zack Greinke",1943,"2010",3440,0.1587,0.0395,0.0672,0.052,0.2235,0.511
"C.J. Wilson",3580,"2010",3431,0.1807,0.0277,0.0618,0.0912,0.2416,0.4882
"Tim Lincecum",5705,"2010",3427,0.1587,0.0449,0.0522,0.0616,0.2296,0.5144
"Brett Myers",962,"2010",3423,0.17,0.0316,0.0622,0.0762,0.2217,0.5145
"Mike Pelfrey",5203,"2010",3405,0.1824,0.0385,0.0628,0.0811,0.2391,0.4772
"John Danks",6329,"2010",3380,0.1885,0.0491,0.0491,0.0902,0.2281,0.4852
"Clayton Kershaw",2036,"2010",3371,0.1655,0.0525,0.0466,0.0664,0.2519,0.4835
"Jon Lester",4930,"2010",3350,0.1913,0.0299,0.0552,0.1063,0.2131,0.5104
"Cole Hamels",4972,"2010",3344,0.1803,0.0398,0.0544,0.0861,0.2342,0.4913
"James Shields",7059,"2010",3344,0.1779,0.0284,0.07,0.0795,0.2371,0.4865
"Gio Gonzalez",7448,"2010",3342,0.1688,0.035,0.0661,0.0676,0.2259,0.5042
"Edwin Jackson",1841,"2010",3341,0.1509,0.0302,0.0709,0.0497,0.2161,0.5319
"David Price",3184,"2010",3341,0.1955,0.0485,0.0464,0.1006,0.2646,0.4451
"Adam Wainwright",2233,"2010",3332,0.1624,0.0375,0.0684,0.0564,0.2419,0.4898
"Tim Hudson",921,"2010",3319,0.1525,0.0274,0.0636,0.0615,0.2299,0.5267
"Joe Saunders",4366,"2010",3312,0.1706,0.0284,0.0622,0.08,0.2132,0.5257
"Jake Westbrook",412,"2010",3304,0.1607,0.0179,0.0751,0.0678,0.2209,0.5254
"Roberto Hernandez",3273,"2010",3295,0.1894,0.0261,0.0701,0.0932,0.2446,0.4698
"Max Scherzer",3137,"2010",3289,0.2028,0.0283,0.0657,0.1088,0.2326,0.4707
"Colby Lewis",1259,"2010",3283,0.1913,0.042,0.0475,0.1017,0.251,0.4682
"Matt Garza",3340,"2010",3276,0.1734,0.0507,0.044,0.0788,0.2274,0.5046
"Jon Garland",232,"2010",3247,0.1777,0.0225,0.0644,0.0909,0.2365,0.4989
"Tommy Hanson",9129,"2010",3246,0.1568,0.0425,0.0656,0.0487,0.2514,0.4837
"Livan Hernandez",1116,"2010",3244,0.1643,0.0253,0.0567,0.0823,0.2068,0.5469
"Barry Zito",944,"2010",3240,0.1716,0.0568,0.0395,0.0753,0.2219,0.5102
"Bronson Arroyo",978,"2010",3238,0.1967,0.0352,0.0581,0.1035,0.2187,0.4914
"Anibal Sanchez",3284,"2010",3231,0.1885,0.0405,0.0576,0.0904,0.2467,0.4667
"Jeremy Guthrie",2072,"2010",3224,0.1783,0.0307,0.0592,0.0884,0.2298,0.5019
"Jonathan Sanchez",7507,"2010",3220,0.1677,0.0466,0.0506,0.0705,0.2307,0.5043
"Kevin Millwood",106,"2010",3209,0.1848,0.0533,0.0449,0.0866,0.2156,0.5014
"Ricky Romero",3403,"2010",3209,0.1761,0.0424,0.0492,0.0844,0.2191,0.5132
"Wandy Rodriguez",2586,"2010",3195,0.1568,0.0294,0.0676,0.0598,0.2125,0.5336
"Yovani Gallardo",8173,"2010",3191,0.1517,0.0354,0.0617,0.0545,0.2028,0.5484
"Mark Buehrle",225,"2010",3183,0.2052,0.0352,0.0496,0.1203,0.2045,0.5055
"Clayton Richard",3551,"2010",3180,0.1723,0.0377,0.0506,0.084,0.2522,0.4871
"Roy Oswalt",571,"2010",3174,0.1764,0.0422,0.0589,0.0753,0.2776,0.4449
"Ian Kennedy",6986,"2010",3163,0.1635,0.0433,0.0598,0.0604,0.2311,0.5024
"Derek Lowe",199,"2010",3149,0.1366,0.0041,0.0896,0.0429,0.1483,0.6215
"Carl Pavano",790,"2010",3135,0.1994,0.0376,0.0641,0.0976,0.23,0.4689
"Kyle Davies",3642,"2010",3125,0.1491,0.0384,0.0637,0.047,0.2234,0.5254
"Johnny Cueto",6893,"2010",3110,0.1904,0.0408,0.0469,0.1026,0.2096,0.5122
"A.J. Burnett",512,"2010",3098,0.1566,0.0403,0.06,0.0562,0.2269,0.5161
"Randy Wells",4535,"2010",3083,0.1434,0.0289,0.0782,0.0363,0.2018,0.5478
"Rodrigo Lopez",150,"2010",3079,0.1991,0.0393,0.0575,0.1023,0.255,0.4492
"Chad Billingsley",5842,"2010",3068,0.1767,0.0339,0.0655,0.0772,0.221,0.5029
"Paul Maholm",8678,"2010",3063,0.1636,0.0304,0.0741,0.0591,0.2236,0.5083
"Justin Masterson",2038,"2010",3062,0.1914,0.0294,0.066,0.096,0.2218,0.4915
"Shaun Marcum",6204,"2010",3039,0.181,0.0201,0.0665,0.0944,0.2195,0.513
"Trevor Cahill",6249,"2010",3035,0.1667,0.032,0.0685,0.0662,0.2353,0.4975
"Hiroki Kuroda",3283,"2010",3023,0.1694,0.044,0.0572,0.0681,0.2153,0.5141
"Francisco Liriano",3201,"2010",3013,0.1888,0.0289,0.0518,0.1082,0.2108,0.5197
"Jason Vargas",8044,"2010",3011,0.1923,0.0342,0.0651,0.093,0.2305,0.4779
"Phil Hughes",7450,"2010",3003,0.1875,0.0543,0.0486,0.0846,0.2537,0.4559
"Josh Johnson",4567,"2010",2983,0.1864,0.0312,0.0577,0.0976,0.2397,0.4851
"Cliff Lee",1636,"2010",2975,0.1916,0.0558,0.0565,0.0793,0.3042,0.3919
"Johan Santana",755,"2010",2969,0.1957,0.0434,0.0657,0.0866,0.2391,0.456
"Dave Bush",4635,"2010",2943,0.175,0.0313,0.0642,0.0795,0.2341,0.4954
"Jon Niese",4424,"2010",2936,0.2054,0.0392,0.062,0.1042,0.2405,0.453
"Mat Latos",3815,"2010",2934,0.1629,0.0518,0.0525,0.0586,0.227,0.5058
"Ted Lilly",833,"2010",2902,0.2023,0.0558,0.0531,0.0934,0.264,0.4249
"Chris Narveson",2141,"2010",2891,0.1477,0.0349,0.0626,0.0502,0.2186,0.5361
"Gavin Floyd",3886,"2010",2890,0.1744,0.0433,0.0443,0.0869,0.2315,0.5066
"Brian Matusz",2646,"2010",2889,0.1793,0.0467,0.0582,0.0744,0.2465,0.4694
"Dallas Braden",8099,"2010",2844,0.1888,0.0355,0.0594,0.0939,0.2138,0.5025
"Jason Hammel",4538,"2010",2830,0.1887,0.0371,0.0537,0.0979,0.2519,0.4686
"Kyle Kendrick",6230,"2010",2827,0.1857,0.0241,0.0711,0.0906,0.2229,0.4963
"Chris Volstad",9901,"2010",2824,0.1725,0.0294,0.068,0.0751,0.2344,0.4958
"Clay Buchholz",3543,"2010",2800,0.1736,0.0393,0.0625,0.0718,0.2261,0.4986
"Wade Davis",7441,"2010",2777,0.1721,0.0529,0.0529,0.0663,0.2452,0.4768
"Scott Kazmir",4897,"2010",2737,0.1725,0.0395,0.0563,0.0767,0.2302,0.5016
"Joe Blanton",4849,"2010",2734,0.1811,0.045,0.0596,0.0764,0.2447,0.4696
"Jeremy Bonderman",1667,"2010",2725,0.1673,0.0183,0.076,0.073,0.2044,0.5339
"Brett Cecil",2660,"2010",2706,0.1899,0.0414,0.054,0.0946,0.2177,0.497
"Javier Vazquez",801,"2010",2703,0.1783,0.0459,0.0525,0.0799,0.2316,0.4917
"Doug Fister",9425,"2010",2698,0.2024,0.0515,0.0549,0.096,0.2658,0.4255
"Bud Norris",9492,"2010",2683,0.1722,0.0324,0.0652,0.0745,0.2218,0.5084
"Scott Baker",6176,"2010",2655,0.18,0.0599,0.0456,0.0746,0.2569,0.4576
"Zach Duke",3840,"2010",2635,0.1643,0.0224,0.0698,0.0721,0.2008,0.5427
"Mitch Talbot",4961,"2010",2621,0.206,0.0282,0.0462,0.1316,0.2404,0.4792
"Jeff Niemann",8591,"2010",2618,0.1818,0.0489,0.0581,0.0749,0.249,0.4622
"Daisuke Matsuzaka",7775,"2010",2616,0.1758,0.0447,0.0497,0.0814,0.2599,0.4698
"Brad Bergesen",8375,"2010",2601,0.1726,0.0238,0.0738,0.075,0.2391,0.4906
"R.A. Dickey",1245,"2010",2595,0.2069,0.0432,0.0551,0.1087,0.2478,0.447
"Jaime Garcia",8137,"2010",2589,0.1402,0.0317,0.0742,0.0344,0.2171,0.5369
"Kevin Slowey",9918,"2010",2573,0.1904,0.0544,0.0431,0.0929,0.253,0.459
"Rick Porcello",2717,"2010",2569,0.2012,0.0346,0.0568,0.1098,0.2491,0.4582
"Brandon Morrow",9346,"2010",2519,0.1548,0.0433,0.0576,0.054,0.2191,0.5252
"Kevin Correia",1767,"2010",2491,0.1646,0.0438,0.0542,0.0666,0.2336,0.5038
"Ricky Nolasco",3830,"2010",2468,0.1682,0.0369,0.0717,0.0596,0.2516,0.4716
"Freddy Garcia",1077,"2010",2464,0.1571,0.0422,0.0511,0.0637,0.2472,0.5024
"Bruce Chen",769,"2010",2413,0.1948,0.051,0.041,0.1028,0.2561,0.4571
"Wade LeBlanc",5221,"2010",2409,0.1557,0.0394,0.0548,0.0614,0.2246,0.5255
"Scott Feldman",6283,"2010",2396,0.1966,0.0338,0.0509,0.1119,0.2279,0.4908
"John Lannan",7080,"2010",2352,0.1901,0.0315,0.0685,0.0901,0.2321,0.4779
"Armando Galarraga",4222,"2010",2322,0.1783,0.0332,0.0685,0.0767,0.2386,0.4815
"Joel Pineiro",1094,"2010",2304,0.1714,0.0204,0.0838,0.0673,0.2214,0.503
"Jhoulys Chacin",2608,"2010",2301,0.1525,0.0239,0.0695,0.0591,0.2056,0.5485
"Carlos Zambrano",305,"2010",2281,0.1657,0.0316,0.0618,0.0723,0.2052,0.5357
"Nick Blackburn",4270,"2010",2275,0.2026,0.0308,0.0673,0.1046,0.2431,0.4563
"Tom Gorzelanny",6244,"2010",2274,0.1741,0.0387,0.0563,0.0792,0.219,0.5119
"Brian Bannister",5718,"2010",2162,0.1665,0.0328,0.0722,0.0615,0.2151,0.5134
"Manny Parra",4279,"2010",2151,0.166,0.0372,0.0586,0.0702,0.2236,0.5146
"Tim Wakefield",219,"2010",2150,0.1926,0.0591,0.0498,0.0837,0.2674,0.4312
"Josh Beckett",510,"2010",2132,0.1684,0.0389,0.0483,0.0811,0.2598,0.4845
"Mike Leake",10130,"2010",2114,0.1731,0.0189,0.0776,0.0766,0.2067,0.5237
"Craig Stammen",7274,"2010",2074,0.15,0.0309,0.0709,0.0482,0.1866,0.5617
"Vin Mazzaro",5231,"2010",2071,0.1845,0.0261,0.0604,0.098,0.2236,0.5056
"Hisanori Takahashi",10091,"2010",2061,0.163,0.0209,0.0767,0.0655,0.2174,0.5221
"Aaron Harang",1451,"2010",2045,0.1584,0.0357,0.0587,0.0641,0.2225,0.5247
"Jorge de la Rosa",2047,"2010",2019,0.1625,0.0327,0.0624,0.0674,0.206,0.5364
"Andy Pettitte",840,"2010",1988,0.1901,0.0262,0.0614,0.1026,0.2389,0.4834
"Aaron Cook",1571,"2010",1955,0.1877,0.0353,0.0639,0.0885,0.2256,0.4875
"Ben Sheets",710,"2010",1938,0.1656,0.0578,0.0501,0.0578,0.2534,0.4732
"Homer Bailey",8362,"2010",1921,0.1733,0.0437,0.0599,0.0698,0.2332,0.4898
"Tommy Hunter",1157,"2010",1894,0.2075,0.0665,0.0401,0.1008,0.246,0.4398
"Brian Duensing",4064,"2010",1882,0.1769,0.0282,0.0728,0.076,0.2349,0.4872
"Jair Jurrjens",5556,"2010",1823,0.153,0.0455,0.0609,0.0466,0.2381,0.5025
"Ryan Rowland-Smith",3245,"2010",1815,0.1609,0.0512,0.0501,0.0595,0.2678,0.47
"Jeff Karstens",5879,"2010",1789,0.1755,0.0285,0.0732,0.0738,0.2717,0.4511
"Ross Ohlendorf",8268,"2010",1763,0.1645,0.0437,0.0437,0.0771,0.2297,0.5184
"Carlos Silva",973,"2010",1738,0.168,0.0247,0.0788,0.0644,0.2428,0.4856
"Madison Bumgarner",5524,"2010",1718,0.2084,0.0384,0.0547,0.1153,0.2544,0.4441
"Jamie Moyer",1091,"2010",1717,0.2306,0.0111,0.06,0.1596,0.1701,0.5282
"Jake Arrieta",4153,"2010",1713,0.1716,0.0385,0.0496,0.0835,0.2259,0.5143
"Jake Peavy",1051,"2010",1697,0.1903,0.0424,0.0583,0.0896,0.2363,0.4726
"Nate Robertson",1620,"2010",1677,0.2039,0.0322,0.0614,0.1103,0.2224,0.48
"Brett Anderson",8223,"2010",1658,0.2087,0.0338,0.0476,0.1273,0.2298,0.4801
"Jeff Francis",4684,"2010",1655,0.1668,0.0363,0.0634,0.0671,0.2568,0.4767
"Luke Hochevar",6943,"2010",1636,0.1711,0.0428,0.0611,0.0672,0.2335,0.4914
"Tony Pena",4573,"2010",1627,0.1696,0.0467,0.0578,0.0652,0.2655,0.4604
"John Ely",6132,"2010",1626,0.1494,0.04,0.0517,0.0578,0.2355,0.5234
"Rich Harden",1772,"2010",1624,0.1619,0.0579,0.0394,0.0647,0.226,0.5148
"Felipe Paulino",3777,"2010",1614,0.1574,0.0384,0.0725,0.0465,0.2224,0.5093
"Jeff Suppan",633,"2010",1610,0.1509,0.0211,0.0689,0.0609,0.2224,0.5366
"Travis Wood",9884,"2010",1609,0.2082,0.0392,0.046,0.1231,0.2225,0.4842
"Kyle Lohse",739,"2010",1608,0.1542,0.0311,0.0591,0.0641,0.2332,0.5224
"Nelson Figueroa",683,"2010",1597,0.1879,0.0438,0.0595,0.0845,0.2505,0.4584
"Kris Medlen",9417,"2010",1589,0.1598,0.0409,0.0661,0.0529,0.2637,0.4695
"Tyler Clippard",5640,"2010",1567,0.1493,0.0676,0.037,0.0447,0.2265,0.5195
"J.A. Happ",7410,"2010",1560,0.1526,0.05,0.0474,0.0551,0.209,0.541
"Barry Enright",2412,"2010",1483,0.18,0.0378,0.06,0.0823,0.2414,0.4808
"Carlos Monasterios",2506,"2010",1476,0.168,0.0407,0.0589,0.0684,0.2385,0.4939
"Blake Hawksworth",8963,"2010",1476,0.1714,0.0264,0.063,0.082,0.2215,0.5176
"Kenshin Kawakami",9225,"2010",1455,0.1808,0.0213,0.0811,0.0784,0.2151,0.5017
"Matt Belisle",1837,"2010",1453,0.1858,0.0413,0.073,0.0716,0.2691,0.4308
"Vicente Padilla",964,"2010",1447,0.1921,0.047,0.0663,0.0788,0.2516,0.443
"Luis Atilano",3802,"2010",1442,0.1845,0.025,0.0798,0.0798,0.2316,0.4792
"Daniel Hudson",7146,"2010",1434,0.1876,0.0279,0.0572,0.1025,0.2469,0.4805
"Charlie Morton",4676,"2010",1426,0.1648,0.0309,0.0666,0.0673,0.244,0.4937
"Sean O'Sullivan",9137,"2010",1418,0.158,0.0458,0.0564,0.0557,0.2532,0.4866
"David Pauley",3625,"2010",1418,0.1763,0.0282,0.0769,0.0712,0.2137,0.5049
"Carlos Marmol",2790,"2010",1417,0.1835,0.0254,0.0572,0.1009,0.2343,0.4996
"David Hernandez",4259,"2010",1407,0.15,0.059,0.0476,0.0434,0.2367,0.5068
"Matt Harrison",5551,"2010",1393,0.2017,0.038,0.0416,0.122,0.2247,0.4939
"David Huff",4257,"2010",1380,0.1877,0.0377,0.0507,0.0993,0.2543,0.4696
"Brian Burres",3425,"2010",1346,0.1828,0.0312,0.0594,0.0921,0.214,0.5126
"Jonny Venters",7175,"2010",1333,0.1635,0.0225,0.0638,0.0773,0.1553,0.5949
"Miguel Batista",46,"2010",1329,0.1761,0.0158,0.0602,0.1001,0.1971,0.5508
"Evan Meek",5109,"2010",1320,0.1811,0.0644,0.0386,0.078,0.2091,0.5068
"Brian Tallet",1646,"2010",1319,0.16,0.0417,0.0652,0.0531,0.2191,0.514
"Scott Olsen",4529,"2010",1316,0.1619,0.0236,0.0775,0.0608,0.2401,0.497
"Luke French",7529,"2010",1305,0.2107,0.0483,0.0613,0.1011,0.2598,0.4199
"Andy Sonnanstine",7667,"2010",1304,0.1756,0.0414,0.066,0.0683,0.2308,0.4862
"Brian Wilson",6485,"2010",1301,0.1852,0.0384,0.0492,0.0976,0.2214,0.5058
"Matt Albers",4300,"2010",1294,0.1623,0.0185,0.0634,0.0804,0.1631,0.5927
"Aaron Heilman",1751,"2010",1292,0.1726,0.0224,0.0604,0.0898,0.2353,0.5093
"Fernando Rodney",494,"2010",1278,0.2121,0.0423,0.0407,0.1291,0.2113,0.4937
"Francisco Cordero",1243,"2010",1274,0.1601,0.0377,0.0644,0.0581,0.1962,0.5416
"Esmil Rogers",6317,"2010",1269,0.1608,0.0315,0.063,0.0662,0.2411,0.5035
"Nick Masset",7267,"2010",1263,0.1584,0.0412,0.0499,0.0673,0.19,0.5606
"Dontrelle Willis",1703,"2010",1260,0.1738,0.0333,0.0579,0.0825,0.2,0.5349
"Brandon Lyon",1312,"2010",1247,0.1748,0.0273,0.0497,0.0978,0.1812,0.567
"Craig Breslow",4363,"2010",1234,0.175,0.0454,0.0592,0.0705,0.2407,0.4797
"D.J. Carrasco",1666,"2010",1234,0.2026,0.0397,0.0551,0.1078,0.201,0.5016
"Tim Stauffer",6432,"2010",1228,0.1588,0.0497,0.0497,0.0594,0.2565,0.4853
"Heath Bell",2080,"2010",1217,0.1495,0.0657,0.0403,0.0435,0.2284,0.516
"Chad Durbin",1442,"2010",1216,0.1752,0.0222,0.0617,0.0913,0.1867,0.5543
"Mark Hendrickson",1574,"2010",1210,0.1917,0.038,0.0562,0.0975,0.2314,0.4826
"James McDonald",5523,"2010",1207,0.1524,0.0555,0.0456,0.0514,0.2278,0.5186
"Casey Janssen",7355,"2010",1198,0.1903,0.0367,0.0576,0.096,0.2337,0.4816
"Sean Marshall",5905,"2010",1182,0.181,0.0271,0.0643,0.0897,0.2606,0.467
"Clay Hensley",4593,"2010",1180,0.1636,0.0305,0.0678,0.0653,0.2068,0.5314
"Joel Hanrahan",2186,"2010",1176,0.1582,0.0366,0.0587,0.0629,0.2347,0.5119
"David Robertson",8241,"2010",1176,0.1641,0.0408,0.0765,0.0468,0.2398,0.4787
"Jonathan Papelbon",5975,"2010",1161,0.1533,0.0534,0.0525,0.0474,0.2317,0.509
"Joba Chamberlain",2692,"2010",1158,0.1537,0.0415,0.0656,0.0466,0.2668,0.4724
"Kyle McClellan",4845,"2010",1156,0.1626,0.0389,0.0545,0.0692,0.2396,0.5043
"Octavio Dotel",555,"2010",1132,0.1696,0.0504,0.0539,0.0654,0.2712,0.4549
"Brad Thomas",757,"2010",1129,0.1736,0.0531,0.0443,0.0762,0.2347,0.4942
"Tony Sipp",8280,"2010",1127,0.1668,0.0382,0.0506,0.0781,0.2094,0.535
"Daniel Bard",7115,"2010",1119,0.1921,0.0474,0.0438,0.101,0.2261,0.4906
"Daniel McCutchen",263,"2010",1119,0.1609,0.0241,0.0822,0.0545,0.2216,0.5112
"Josh Tomlin",9388,"2010",1112,0.1799,0.0495,0.0647,0.0656,0.2284,0.4775
"Gil Meche",1089,"2010",1110,0.164,0.0541,0.0423,0.0676,0.2261,0.5135
"Chad Gaudin",1783,"2010",1108,0.1922,0.0442,0.0523,0.0957,0.2365,0.4747
"Brandon League",3731,"2010",1106,0.2116,0.019,0.0823,0.1103,0.1926,0.4946
"Ramon Ramirez",7986,"2010",1105,0.1611,0.0597,0.0516,0.0498,0.2181,0.5095
"Pedro Feliciano",1601,"2010",1103,0.184,0.0272,0.0526,0.1043,0.2294,0.5068
"Luke Gregerson",4090,"2010",1103,0.1541,0.0199,0.0662,0.068,0.2511,0.5086
"Billy Wagner",578,"2010",1099,0.1702,0.0428,0.051,0.0764,0.2402,0.4959
"Edinson Volquez",3990,"2010",1099,0.152,0.05,0.0601,0.0419,0.1874,0.5505
"Jesse Crain",4817,"2010",1097,0.1768,0.0602,0.0456,0.0711,0.2543,0.4631
"Alex Sanabia",5350,"2010",1097,0.1787,0.0456,0.0702,0.0629,0.2325,0.4731
"Joakim Soria",6941,"2010",1097,0.165,0.0419,0.0583,0.0647,0.2543,0.4804
"Jonathan Broxton",4759,"2010",1089,0.1671,0.0422,0.0523,0.0725,0.2452,0.4931
"Sean Gallagher",8261,"2010",1087,0.1638,0.034,0.046,0.0837,0.219,0.5373
"Chan Ho Park",1267,"2010",1082,0.1534,0.0194,0.0712,0.0628,0.2218,0.5342
"Marc Rzepczynski",6612,"2010",1080,0.1759,0.0352,0.0481,0.0926,0.2222,0.5185
"Kevin Gregg",1793,"2010",1079,0.1557,0.038,0.0639,0.0538,0.203,0.5394
"Jason Frasor",1906,"2010",1078,0.1614,0.038,0.0584,0.0649,0.2495,0.4926
"Shawn Camp",1855,"2010",1077,0.1718,0.0158,0.078,0.078,0.2553,0.4791
"Mitchell Boggs",3344,"2010",1075,0.1814,0.0195,0.0716,0.0902,0.2121,0.5153
"Juan Oviedo",2886,"2010",1071,0.1513,0.0345,0.0654,0.0514,0.2736,0.4753
"Sean Burnett",1886,"2010",1066,0.1463,0.0235,0.0572,0.0657,0.1857,0.5872
"Raul Valdes",1953,"2010",1065,0.1728,0.0451,0.0376,0.0901,0.2432,0.5014
"Mike Adams",1937,"2010",1065,0.1897,0.031,0.0695,0.0892,0.2789,0.431
"Stephen Strasburg",10131,"2010",1065,0.1812,0.031,0.062,0.0883,0.2207,0.5052
"Eddie Bonine",5890,"2010",1063,0.1881,0.0282,0.0659,0.0941,0.2333,0.4845
"Chris Perez",5213,"2010",1059,0.1756,0.0614,0.0529,0.0614,0.2899,0.4202
"Chris Capuano",1701,"2010",1058,0.1437,0.034,0.0558,0.0539,0.2098,0.5567
"Matt Capps",4788,"2010",1058,0.1947,0.0482,0.0633,0.0832,0.2713,0.4225
"Dustin Nippert",4426,"2010",1054,0.1565,0.0455,0.0484,0.0626,0.2154,0.5342
"Derek Holland",4141,"2010",1054,0.1888,0.0465,0.0455,0.0968,0.222,0.4972
"Phil Coke",5535,"2010",1053,0.17,0.0408,0.0503,0.0788,0.2004,0.5385
"Rafael Perez",4078,"2010",1051,0.1323,0.0304,0.0723,0.0295,0.236,0.529
"Kyle Farnsworth",278,"2010",1047,0.1729,0.0334,0.0602,0.0793,0.2416,0.4919
"Peter Moylan",4891,"2010",1046,0.1415,0.0019,0.0946,0.0449,0.1539,0.608
"Chad Qualls",2170,"2010",1042,0.1526,0.0163,0.0758,0.0605,0.2543,0.501
"Jesse Chavez",5448,"2010",1042,0.1737,0.0384,0.0643,0.071,0.2198,0.5038
