"Pitcher","MLBAM_ID","Year","# of total pitches","Total Edge%","Top Edge%","Bottom Edge%","Horizontal Edge%","Heart%","Out of Zone%"
"Matt Belisle",1837,"2015",157,0.1274,0.0191,0.0764,0.0318,0.2357,0.5414
"Kevin Gregg",1793,"2015",157,0.2166,0.0064,0.0701,0.1401,0.1911,0.5159
"Jordan Walden",3271,"2015",156,0.1346,0.0256,0.0641,0.0449,0.1731,0.6026
"Kevin Jepsen",6475,"2015",155,0.1742,0.0452,0.0774,0.0516,0.2258,0.4774
"Nick Hagadone",1351,"2015",155,0.1548,0.0194,0.0516,0.0839,0.2452,0.529
"Evan Marshall",12297,"2015",155,0.1677,0.0129,0.0516,0.1032,0.1677,0.6
"Blaine Hardy",6499,"2015",155,0.2323,0.0387,0.071,0.1226,0.2581,0.4
"Dominic Leone",13763,"2015",154,0.1299,0.0195,0.0584,0.0519,0.1688,0.6234
"Dan Jennings",8073,"2015",154,0.1883,0.039,0.039,0.1104,0.2143,0.5195
"Michael Blazek",9654,"2015",153,0.1373,0.0261,0.0719,0.0392,0.2288,0.5359
"Kevin Siegrist",8180,"2015",152,0.1974,0.0592,0.0526,0.0855,0.2566,0.4342
"Luke Gregerson",4090,"2015",152,0.1447,0.0197,0.125,0,0.1513,0.5592
"Pedro Baez",5420,"2015",151,0.1391,0.0199,0.0331,0.0861,0.3245,0.4834
"Addison Reed",10586,"2015",151,0.0861,0.0331,0.0662,-0.0132,0.1656,0.649
"Zach Britton",3240,"2015",151,0.1391,0.0265,0.0662,0.0464,0.2252,0.543
"Rafael Betancourt",177,"2015",151,0.1258,0.053,0.0728,0,0.2185,0.5298
"Brandon Gomes",2267,"2015",151,0.1192,0.0265,0.0464,0.0464,0.2583,0.5497
"Carson Smith",13172,"2015",149,0.1544,0.0134,0.094,0.047,0.2752,0.4631
"Alexi Ogando",10261,"2015",147,0.1633,0.068,0.068,0.0272,0.1973,0.5034
"Ernesto Frieri",5178,"2015",145,0.1862,0.0483,0.0552,0.0828,0.2207,0.4897
"Chad Qualls",2170,"2015",145,0.2069,0.0276,0.0483,0.131,0.2207,0.4966
"Boone Logan",5525,"2015",144,0.125,0.0139,0.0903,0.0208,0.1875,0.5833
"Jorge de la Rosa",2047,"2015",143,0.1888,0.035,0.0629,0.0909,0.1818,0.5315
"Jason Motte",5861,"2015",143,0.2098,0.049,0.049,0.1119,0.2308,0.4615
"Mark Melancon",4264,"2015",142,0.162,0.0141,0.0845,0.0634,0.2183,0.5211
"Adam Ottavino",1247,"2015",142,0.1479,0.0563,0.0493,0.0423,0.2042,0.5423
"Tony Cingrani",12555,"2015",142,0.162,0.0352,0.0775,0.0493,0.1479,0.5775
"Brian Matusz",2646,"2015",141,0.156,0.0213,0.0922,0.0426,0.2482,0.4823
"Rob Scahill",9286,"2015",141,0.156,0,0.0993,0.0567,0.2624,0.4823
"Craig Kimbrel",6655,"2015",140,0.1714,0.0143,0.0929,0.0643,0.2071,0.5143
